iter	Passed	Remaining
376	95243	1073703
377	96175	1081080
378	97047	1087751
379	97923	1094426
380	98843	1101552
381	99325	1103764
382	99510	1102669
383	99696	1101595
384	99957	1101354
385	100175	1100627
386	100428	1100306
387	100702	1100204
388	100924	1099534
389	101098	1098339
390	101314	1097618
391	101559	1097207
392	101799	1096742
393	102017	1096045
394	102281	1095838
395	102515	1095306
396	102796	1095283
397	103078	1095272
398	104026	1102319
399	104490	1104198
400	105058	1107180
401	105338	1107105
402	105622	1107075
403	105910	1107077
404	106227	1107392
405	106552	1107780
406	106747	1106815
407	106994	1106392
408	107197	1105527
409	107541	1106105
410	107699	1104769
411	107976	1104660
412	108368	1105727
413	108594	1105088
414	108782	1104080
415	108937	1102728
416	109195	1102427
417	109434	1101937
418	109769	1102407
419	109958	1101416
420	110194	1100896
421	110428	1100362
422	110726	1100455
423	110974	1100061
424	111192	1099368
425	111347	1098049
426	111610	1097812
427	111805	1096898
428	112169	1097638
429	112384	1096929
430	112594	1096164
431	112935	1096674
432	113198	1096426
433	113486	1096430
434	113772	1096402
435	114073	1096514
436	114272	1095660
437	114517	1095234
438	114714	1094358
439	114999	1094328
440	115223	1093707
441	115457	1093188
442	115692	1092678
443	115895	1091870
444	116173	1091766
445	116441	1091572
446	116683	1091137
447	116939	1090825
448	117174	1090323
449	117436	1090068
450	117676	1089617
451	117906	1089067
452	118159	1088732
453	118404	1088330
454	118700	1088392
455	118913	1087694
456	119135	1087076
457	119405	1086906
458	119709	1087032
459	119921	1086328
460	120113	1085453
461	120403	1085456
462	120693	1085458
463	120907	1084776
464	121112	1084025
465	121321	1083304
466	121628	1083454
467	121875	1083077
468	122110	1082591
469	122350	1082152
470	122577	1081600
471	122820	1081183
472	123054	1080692
473	123276	1080096
474	123601	1080405
475	123838	1079944
476	124102	1079715
477	124354	1079383
478	124567	1078716
479	124829	1078472
480	125070	1078053
481	125331	1077802
482	125561	1077281
483	125752	1076433
484	126068	1076648
485	126322	1076344
486	126577	1076038
487	126784	1075329
488	127007	1074761
489	127263	1074467
490	127512	1074120
491	127761	1073764
492	127961	1073006
493	128221	1072749
494	128436	1072117
495	128685	1071776
496	128971	1071735
497	129208	1071285
498	129514	1071410
499	129693	1070488
500	129892	1069729
501	130214	1069989
502	130435	1069417
503	130639	1068706
504	130793	1067588
505	131000	1066903
506	131288	1066878
507	131500	1066242
508	131655	1065141
509	131844	1064317
510	132131	1064289
511	132369	1063870
512	132555	1063026
513	132864	1063177
514	133069	1062487
515	133253	1061636
516	133504	1061322
517	133759	1061036
518	134034	1060914
519	134181	1059773
520	134477	1059819
521	134675	1059085
522	134882	1058427
523	135068	1057603
524	135328	1057369
525	135616	1057342
526	135779	1056349
527	136033	1056065
528	136294	1055830
529	136543	1055507
530	136787	1055145
531	137019	1054687
532	137312	1054706
533	137483	1053779
534	137694	1053173
535	137907	1052571
536	138175	1052398
537	138413	1051996
538	138732	1052205
539	140037	1059875
540	140441	1060707
541	140781	1061053
