iter	MultiClass
0	1.351524933
1	1.31877892422	1.28271281333	1.24551829
44	1.2146305755	1.16311765266	1.126959563
7	1.100932903888	1.0804151499	1.0444058371110	1.029649741111	1.005351141212	0.9760452921313	0.9526729101414	0.9301728151115	0.9090970731116	0.886373366117	0.8529842261818	0.8281128131919	0.8021919188
20	0.7840722
21	0.7659879624
22	0.7486958186
23	0.7308057664
24	0.7158092069
25	0.7013517643
26	0.6862053357
27	0.6689893353
28	0.6541996967
29	0.6399079175
30	0.624053333
31	0.6108201926
32	0.599926247
33	0.5886799749
34	0.5740649917
35	0.560408177
36	0.5471445316
37	0.5371324581
38	0.5273801812
39	0.5183461963
40	0.5105835122
41	0.5004229366
42	0.4907364201
43	0.4832501849
44	0.4736914287
45	0.4661558535
46	0.459768585
47	0.4492619949
48	0.4413251439
49	0.4331747288
50	0.4251306948
51	0.4168917604
52	0.4079023618
53	0.4012515691
54	0.39314187
55	0.3876635326
56	0.3807776784
57	0.3757	0.375058	0.3658	0.368859	0.3640143642
60	0.3588374503
61	0.3561	0.352462	0.3462	0.347363	0.3463	0.34164	0.33864	0.33565	0.33365	0.33066	0.32966	0.32667	0.32467	0.32168	0.32068	0.31669	0.31669	0.31270	0.31170	0.30971	0.30571	0.30272	0.30272	0.29973	0.2973	0.29574	0.29474	0.29175	0.2975	0.287876	0.276	0.2831377	0.277	0.280278	0.2778	0.27679	0.27079	0.27180	0.26680	0.26881	0.26381	0.26482	0.25882	0.26183	0.25583	0.25884	0.25284	0.25485	0.24985	0.24986	0.24486	0.24687	0.24187	0.24388	0.23888	0.24089	0.23589	0.23790	0.23290	0.23491	0.22991	0.23192	0.22692	0.22893	0.22293	0.22594	0.21994	0.22295	0.21595	0.219696	0.2196	0.2197	0.209797	0.2198	0.207098	0.2199	0.205299	0.2078962766
100	0.20101	0.19101	0.202102	0.19102	0.200103	0.19103	0.198104	0.19104	0.195105	0.18105	0.193106	0.18106	0.19107	0.183107	0.18108	0.18108	0.184109	0.17109	0.182110	0.1110	0.1798111	0.1111	0.1773112	0.1112	0.1748113	0.1113	0.1726114	0.1114	0.1703115	0.1115	0.1679116	0.1116	0.165117	0.16117	0.163118	0.15118	0.161119	0.1119	0.159120	0120120	0.157121	0.121	0.15626122	0122	0.154893123	0123	0.153174124	0124	0.15184125	0.125	0.14995126	0.126	0.14827127	0.127	0.14682128	0.128	0.14494129	0.129	0.14308130	01130	0.14170131	0.131	0.14014132	0132	0.138747133	0133	0.137199134	0134	0.136127135	135	0.1348291136	136	0.1333012137137	0.13183131138138	0.13027312139139	0.12917423140140	0.12773634141141	0.12681208142142	0.12560691143143	0.124605272
144	0.12337154714145	0.12227884214146	0.12146038147147	0.12035945148148	0.11925319149149	0.11829981150150	0.11736014151151	0.11645244152152	0.11550659153153	0.11462788154154	0.11376925155155	0.1125224491
156	0.1113203861
157	0.1100164615158	0.10893297315159	0.10825186816160	0.1071245343
161	0.1062355279
162	0.1055309054
163	0.1048167733
164	0.10375456616165	0.10291943616166	0.1021273181
167	0.10146246216168	0.100828548
169	0.1001639501
170	0.09938077334
171	0.09868875979
172	0.09783105087
173	0.097050089617174	0.096510868017175	0.09575340956
176	0.09500495453
177	0.094463555717178	0.09382866457
179	0.09321508
180	0.09230765515
